Broker,TradeID
Fidelity,8794eb9a-11f2-4390-a9f8-526af8ba3c55
Charles Schwab,5642aef1-5d00-4988-889e-1302ea17900f
AXA Advisors,4c7be220-77e3-4067-93e8-115a502ca26b
National Planning Corporation,d4be99a7-eac5-4c1e-a6e4-f34c33b88421
Edward Jones,5806523a-5f8b-45b0-ad54-8cf5920f64a5
Raymond James Financial,c97f62c0-be93-4dfb-b561-99da1d52ebac
Wells Fargo Advisors,940e3e39-4010-470b-a90f-7b571a2b577d
LPL Financial,f7e09239-0512-4e98-b883-0a602e166346
TD Ameritrade,f7b1ccfa-6675-482d-9ea3-4e644dd77114
Fidelity,fff7af72-930a-4048-b56b-25cdbdbe1a54
Fidelity,0a662cd8-2f39-4d13-a45d-d263d72aaed5
Wells Fargo Advisors,903671d2-ddad-431a-bc53-4fc3e47cdd4d
Charles Schwab,1f25d409-4b16-4006-8ace-4e509485ae1b
Edward Jones,1bdff2d7-22c7-4a3f-9eb4-ae8a396d79e7
TD Ameritrade,b012e583-939d-4bd6-bc2e-324ea87d4db2
Ameriprise Financial,1dc846d2-48a7-4318-a52d-45f949170cca
Ameriprise Financial,1f3c40d8-9f2d-4fc0-97f1-575be78aabbe
TD Ameritrade,7bf9e891-c664-493b-81f3-c63d100e6f95
Raymond James Financial,4d9f0eda-3d33-4b3f-a99c-45f8b1a10f07
Raymond James Financial,96175320-283e-4321-ad62-e3f16831790c
AXA Advisors,7a93c5f3-d25f-4633-b878-f20ed25741b7
AXA Advisors,e8521576-1e32-4dbb-a687-ece7334496c6
LPL Financial,4277007b-4039-4953-9586-e4cd60ff1ac3
National Planning Corporation,e1e41935-4314-417b-949e-aaa9cbf27358
Edward Jones,53cc4a6f-2ae8-49d3-8103-ce7f835b8a9d
National Planning Corporation,9f57bc70-91a9-496e-aaf8-ec107d142fde
LPL Financial,25300f3f-b0e8-48c6-b6fe-c95b947e1c3f
Wells Fargo Advisors,bfa33a15-2610-4ff5-8aba-b856dee1653b
Edward Jones,d691f745-afcd-40a5-843b-306e968d74ef
Wells Fargo Advisors,d54de672-ba43-4753-bf0a-d5a96025d4b7
Charles Schwab,eb0e1fdb-b20b-4257-93a5-dede13b86a23
Ameriprise Financial,0b614d6e-95ff-4190-9376-82605ab5acdc
LPL Financial,7911589f-8e61-4b29-8920-ba058fe6c0a5
AXA Advisors,703c3fd3-f9aa-4dab-b9a7-beb768223012
Raymond James Financial,4389c5e6-1b30-4560-b2cc-3588628ebf37
TD Ameritrade,5bf10eee-18ef-4401-9a65-a3251b2194e8
Fidelity,c7351d9b-660a-4384-b5f8-a8146e2e43f9
Wells Fargo Advisors,80cb11b6-1195-464c-9131-192fa2559d63
Ameriprise Financial,799be1d0-e3be-4303-b226-f369bfe9a944
