Broker,TradeID
Ameriprise Financial,32380568-1f34-4ef1-b93e-2d77b6896063
Charles Schwab,ab2f7bfe-a309-4872-9a8a-d8718269acc8
Fidelity,3cf1f3e8-6581-48bc-bf56-7e143db1e2b8
National Planning Corporation,b12551a7-ea17-4566-b22c-d60afa8b8c09
Wells Fargo Advisors,57ff98d4-be7d-4fa6-8bd6-c596d8b33c58
Raymond James Financial,788e1912-7a99-4074-b187-d393f9f3eda7
Fidelity,13d66956-557d-4a8b-b7d6-99d9c5d44789
Edward Jones,a3ab24b2-1e89-423d-8302-04ae7c67d3ed
TD Ameritrade,50df5813-a94c-41e7-98f5-54f8910eabeb
AXA Advisors,f01b64fd-518d-466a-8f4d-514692659941
LPL Financial,2f6318b2-1c61-4d96-b674-532145913ee6
National Planning Corporation,cd067671-1050-4c66-8a63-47cfb89d0b2d
Ameriprise Financial,45a256c8-a81e-4e8b-bb36-a463c9e0453e
Wells Fargo Advisors,8763c1b3-fef6-4584-bab9-919580dd4612
Wells Fargo Advisors,a76b5d79-b9e9-4fb7-a684-0de4f107c190
Wells Fargo Advisors,9637ab7f-6e60-4fda-981e-16a596f2215a
Charles Schwab,dbb7d2ba-2b37-4d68-be1d-ecc4bbb1087a
Edward Jones,d8bdb819-7532-4997-bb5c-07abbacaacdc
TD Ameritrade,da5ba741-a522-4500-9cd0-aa94baff6fa9
Raymond James Financial,3b69730a-b3cd-43f2-9cbe-1630af1e37af
AXA Advisors,0893f7cf-038f-47ce-b32a-f9477cac56d0
LPL Financial,7ed50141-81c9-43b1-a521-3ac21bcd0f2d
National Planning Corporation,ec425e61-ba23-45cc-91aa-930e07315981
Wells Fargo Advisors,b0373a45-bbcc-4e03-8bf5-4df5dcf8e3a1
Fidelity,5634afb8-f97a-48a7-be1d-576b10d9f577
Edward Jones,08a49a86-287d-4538-8522-d31a0b5d019f
Charles Schwab,fe540cf1-d374-4b51-ad9b-61ed3961bd8b
Edward Jones,631abc4a-107c-4e35-9ae1-b16c496d62d2
Ameriprise Financial,d223cfd9-ebcb-4bf3-9583-0f6f79d4b8f4
TD Ameritrade,c5d7b040-7c63-4420-b606-7753cb7a1a93
Raymond James Financial,fc98c5e9-2c4a-4377-9d9f-575d5bc678b2
AXA Advisors,3eee7d47-9f2e-464f-b772-827392c4cb56
LPL Financial,e6f43cd1-0bb9-436f-bee3-e6774f0a45c8
National Planning Corporation,a0973e1c-f16e-4e1b-af7e-55f491b281d5
Wells Fargo Advisors,aabfba0a-a544-42cc-b7f1-7c43d4164f4f
Fidelity,da3b4bf9-7bc3-44d9-9d45-fe386f26d834
National Planning Corporation,2201dbf3-a099-41ee-84f5-cd8c39dfc632
Wells Fargo Advisors,bcb8730e-97c9-4145-867d-450e1f9af637
Wells Fargo Advisors,1db1f9d8-df45-4666-9e35-4d2137ab3795
Wells Fargo Advisors,212f8071-aea4-468a-a8e4-e8e9e50bf6c0
Wells Fargo Advisors,060941b6-81ec-4803-b515-9ff637d501c0
National Planning Corporation,144e32ba-0a52-4a01-9913-3f48025cbf0a
Wells Fargo Advisors,3b4c686e-3b66-4512-aad4-ba6fa9809069
AXA Advisors,fc8dbe12-b35f-4b03-a214-17ca56e9ff7c
Fidelity,ec0266e4-ffdb-4600-9e91-446c7cd02d12
Fidelity,4118b1a3-03ec-44bf-af84-45e59aabebce
Charles Schwab,287b3e87-7a48-4ccf-b7ab-353b85d15d99
Edward Jones,0aee9701-fb4c-45f1-831c-c00ba384f385
Ameriprise Financial,81274a58-dab3-48a2-8399-5e4621f5f938
TD Ameritrade,95e65c79-6030-4962-b2f4-65ca157a093e
Raymond James Financial,aa2736ea-1f32-4914-bf97-0d113f3541d9
LPL Financial,b5820b20-8c92-4cab-8a8b-8b6a31f6d21d
National Planning Corporation,af183f7f-9e48-4d74-aecb-5601cdec4507
Wells Fargo Advisors,8c4aabba-5198-41eb-b958-f6f4adbb8ee3
Edward Jones,47ec507f-327b-4924-b174-d8f7c78c649e
Wells Fargo Advisors,129f7350-606e-4036-b8ea-96b7ea7baa56
TD Ameritrade,ffe60b4e-b655-4f64-b890-c674ee065e42
Wells Fargo Advisors,a124ca6e-5546-4ad1-9b9c-0035984ca003
Charles Schwab,6828ef91-bdbb-4691-99c3-6ea064dab789
Wells Fargo Advisors,b5878c84-3b9c-40bf-b254-f104047519ce
Wells Fargo Advisors,45eda035-6633-4bf3-a18b-bac27f1bad83
AXA Advisors,340ce4f3-e3ce-4653-8fab-82e2f617a4b5
Fidelity,bdb6de80-0684-4a66-95e0-c206f41491f3
Charles Schwab,e25a1535-68be-447d-9328-d95bf752b958
Edward Jones,1e9b1e2f-7969-43de-b0b1-e6e65a540d66
Ameriprise Financial,e51b8540-f5cf-48e4-bcd6-6bb610bf4819
TD Ameritrade,ff04eccf-355e-4474-a770-d7b97e1991b9
Raymond James Financial,ce721983-4c5f-4d17-9b70-760a5dc018f9
AXA Advisors,e0d942ba-16ae-4c73-ac9d-b683b062da2d
LPL Financial,27b8b5c2-9804-4886-9cf7-69d72aff754a
National Planning Corporation,fcb27b63-8ba2-4ca2-97ac-8a57f3434c31
Wells Fargo Advisors,1e2179a6-e897-4fc2-a94c-87f2e16a07c2
National Planning Corporation,36ce50cc-265b-42e6-a554-82137ce33b70
Wells Fargo Advisors,f7f06f4f-2182-4805-a8f1-6dc6a8605e48
TD Ameritrade,f917770b-8291-42d9-9bdf-84b5e694b103
Wells Fargo Advisors,51eee3bc-613f-4421-9965-e6f35c7c3851
Wells Fargo Advisors,ae0b2a29-b142-46f6-ba5a-fb9457c7f979
Wells Fargo Advisors,0954bda9-83fc-4280-92c0-cc73e16f0a27
Wells Fargo Advisors,b91a45b6-8ca6-4c6f-8c77-26db41b56cff
Wells Fargo Advisors,836819c1-d114-40a9-9aca-9631a9f172df
Wells Fargo Advisors,e7167c94-ff71-47bf-841a-da38553d8fa1
Wells Fargo Advisors,65553a80-32c6-4410-aaf2-5b708e7451c7
Wells Fargo Advisors,43ffc78b-68be-40f7-8bf2-bacfc9dbba3e
Wells Fargo Advisors,d9e1fe3d-bedf-4877-a735-e8cdee434281
Wells Fargo Advisors,9a16a352-37db-4528-969d-6565dc6c27ac
Wells Fargo Advisors,3093362b-8fe4-49c3-8179-9d59e49d211b
Wells Fargo Advisors,27dfb844-54ea-4a76-9252-b024cfe037ec
Ameriprise Financial,2ae958f8-18e1-44db-a2ec-b69ba926c7fe
Wells Fargo Advisors,85d5114c-bd55-42ea-a30c-c466b28c8dda
Fidelity,80af8948-7fa1-4994-a724-d7a1fca76b17
Charles Schwab,e4d3bf80-f8e2-43c6-b5d3-8c9079046c93
Edward Jones,680568cf-c446-4987-bf58-d546b535aa17
TD Ameritrade,7e8f99ba-1837-4365-bf06-637fa96b8cb2
Raymond James Financial,44af7f4b-b9db-40d5-b2f2-9e696e16677d
AXA Advisors,6671e140-c49c-4747-8e1e-72b427e18192
LPL Financial,4ef3141f-784d-4dd9-a7af-292374e2b9bd
National Planning Corporation,24e1ed5c-f645-4721-926d-957e59f17934
Wells Fargo Advisors,f0248e96-c53d-4f26-833d-13555b6b35fb
LPL Financial,47381f68-7777-49d8-a301-e2d34376144e
LPL Financial,3dcc2fb3-d125-4a25-a3fd-f2a024361a52
LPL Financial,64d4236e-b9c7-476d-8b8b-9691fa929312
Fidelity,5a53adc4-8b0c-4c06-a95c-07ed3deff462
Edward Jones,6803f868-38c4-4a0c-bc9a-40820111e74a
Charles Schwab,40731ba5-d6ff-45e7-9ad8-7a0be14a5dbd
Ameriprise Financial,b533e2d9-5fed-4a15-a643-37431f62ea34
TD Ameritrade,0e972b91-779a-4f3c-92dd-471785cf58cd
Raymond James Financial,a7c162f0-6018-4370-8103-acb0ac70a903
AXA Advisors,6d15a7c5-4372-468b-9071-a9425225870b
National Planning Corporation,ec8225a6-3ce7-4dae-ae74-339dbd21f6c3
Wells Fargo Advisors,5a7cba52-fe19-4511-a149-8f42da4872b5
Wells Fargo Advisors,43f444ad-e2e3-4328-8e09-91a4663bc6ce
Wells Fargo Advisors,14dc5715-d3cb-4404-bf7f-808688022920
Wells Fargo Advisors,ffcabf73-60d5-45db-9b26-1295dd9e298b
Fidelity,d2cd0537-0a02-4938-9459-2ee124ac5173
Charles Schwab,4cd5e044-104c-4763-99fb-ee51a97b17b6
Edward Jones,9e382498-df2e-4ab1-89c6-438d4233af15
Ameriprise Financial,e9c9e063-beeb-4de4-8f14-224e556f3938
TD Ameritrade,30b50f1b-fcbe-4255-a77b-430b00eceac1
Raymond James Financial,bdbfa360-6051-49c1-b4c7-c681376fba35
AXA Advisors,fba1bb20-6878-4898-a6dc-526917146161
LPL Financial,50d78a70-43d7-4a64-a8d8-bb524cca7253
National Planning Corporation,4e922c8d-cc72-4929-b9b6-12aef28d26fb
Wells Fargo Advisors,b93ac8f3-4958-4fb3-9b98-908d2ca8fd57
National Planning Corporation,ad8d6f0d-eadd-41f8-b34d-3f535c35cb4d
Raymond James Financial,31573b73-8135-4bbe-914b-08cba58ba324
Wells Fargo Advisors,8da941f6-31e0-4c98-8550-0035380d4902
LPL Financial,6a001b7e-e639-4021-a363-4bc0f65ac782
Ameriprise Financial,bd3d8415-97a8-46fd-a81a-7c98748d88ef
AXA Advisors,98c9deaa-886f-4299-ab69-20b776223373
AXA Advisors,c2edb309-a4e6-420d-8e03-490f9f7c45fe
Wells Fargo Advisors,07d7805b-b202-427a-a398-51e0c14de455
Edward Jones,667d21ba-618e-4a73-b979-d689ca606204
Ameriprise Financial,47e6c9a6-b485-433b-9c64-e3ec10e9e1ac
Raymond James Financial,f4d814e5-605a-4b26-99df-404bf842461f
LPL Financial,4484ebb9-1d44-421c-a6cb-499150e1967b
National Planning Corporation,cf042fab-eeb5-49c2-ba7f-12acfadd0799
Fidelity,a56feadb-6ff8-4a73-8091-4ee293dd415c
Charles Schwab,1d0a922a-bf13-47f0-9945-15a860c90050
AXA Advisors,5b051cec-1e7d-4122-89d3-066b89b8ad32
Wells Fargo Advisors,20579223-0652-426f-bbec-9138ca618dcd
Wells Fargo Advisors,852d8562-208b-47e1-afed-f76fe72aca2e
